Club,Country,Date,Elo,Level
Middlesbrough,ENG,2001-09-28,1667.22924805,1
Charlton,ENG,2001-09-28,1658.23840332,1
West Ham,ENG,2001-09-28,1656.27880859,1
Everton,ENG,2001-09-28,1645.63513184,1
Bolton,ENG,2001-09-28,1643.94030762,1
Southampton,ENG,2001-09-28,1643.50512695,1
Blackburn,ENG,2001-09-28,1636.6048584,1
Fulham,ENG,2001-09-28,1628.57653809,1
Derby,ENG,2001-09-28,1613.32434082,1
Leicester,ENG,2001-09-28,1601.06652832,1
Man United,ENG,2001-10-12,1887.64672852,1
Leeds,ENG,2001-10-12,1861.27941895,1
Liverpool,ENG,2001-10-12,1859.66540527,1
Arsenal,ENG,2001-10-12,1827.43371582,1
Chelsea,ENG,2001-10-12,1803.00402832,1
Aston Villa,ENG,2001-10-12,1741.95947266,1
Sunderland,ENG,2001-10-12,1726.39196777,1
Ipswich,ENG,2001-10-12,1711.92712402,1
Newcastle,ENG,2001-10-12,1709.1282959000002,1
Tottenham,ENG,2001-10-12,1673.61279297,1
Charlton,ENG,2001-10-12,1670.48193359,1
Everton,ENG,2001-10-12,1665.65026855,1
Southampton,ENG,2001-10-12,1663.28723145,1
Middlesbrough,ENG,2001-10-12,1657.8581543,1
West Ham,ENG,2001-10-12,1646.67480469,1
Bolton,ENG,2001-10-12,1637.82751465,1
Fulham,ENG,2001-10-12,1636.7421875,1
Blackburn,ENG,2001-10-12,1635.65771484,1
Derby,ENG,2001-10-12,1611.9597168,1
Leicester,ENG,2001-10-12,1599.23413086,1
Man United,ENG,2001-10-14,1895.34509277,1
Leeds,ENG,2001-10-14,1863.07556152,1
Liverpool,ENG,2001-10-14,1857.8692627,1
Arsenal,ENG,2001-10-14,1835.1151123,1
Chelsea,ENG,2001-10-14,1806.5201415999998,1
Aston Villa,ENG,2001-10-14,1741.95947266,1
Newcastle,ENG,2001-10-14,1724.57470703,1
Sunderland,ENG,2001-10-14,1718.69372559,1
Ipswich,ENG,2001-10-14,1708.8371582000002,1
Tottenham,ENG,2001-10-14,1673.61279297,1
Everton,ENG,2001-10-14,1668.7401123,1
Charlton,ENG,2001-10-14,1668.2923584,1
Middlesbrough,ENG,2001-10-14,1660.04785156,1
Southampton,ENG,2001-10-14,1655.60571289,1
West Ham,ENG,2001-10-14,1646.67480469,1
Fulham,ENG,2001-10-14,1636.7421875,1
Blackburn,ENG,2001-10-14,1635.65771484,1
Bolton,ENG,2001-10-14,1622.38110352,1
Derby,ENG,2001-10-14,1611.9597168,1
Leicester,ENG,2001-10-14,1595.71801758,1
Man United,ENG,2001-10-20,1879.20568848,1
Liverpool,ENG,2001-10-20,1861.4206542999998,1
Leeds,ENG,2001-10-20,1860.69702148,1
Arsenal,ENG,2001-10-20,1833.64257812,1
Chelsea,ENG,2001-10-20,1789.29174805,1
Aston Villa,ENG,2001-10-20,1742.98181152,1
Newcastle,ENG,2001-10-20,1719.63647461,1
Sunderland,ENG,2001-10-20,1713.75537109,1
Ipswich,ENG,2001-10-20,1699.40686035,1
Tottenham,ENG,2001-10-20,1675.72058105,1
Everton,ENG,2001-10-20,1663.80187988,1
Charlton,ENG,2001-10-20,1663.35400391,1
Middlesbrough,ENG,2001-10-20,1655.10961914,1
Southampton,ENG,2001-10-20,1650.66748047,1
Blackburn,ENG,2001-10-20,1647.50354004,1
Fulham,ENG,2001-10-20,1625.84338379,1
West Ham,ENG,2001-10-20,1624.95239258,1
Bolton,ENG,2001-10-20,1617.44287109,1
Derby,ENG,2001-10-20,1599.9753418,1
Leicester,ENG,2001-10-20,1590.77966309,1
Liverpool,ENG,2001-10-23,1867.07666016,1
Man United,ENG,2001-10-23,1864.53137207,1
Leeds,ENG,2001-10-23,1857.02832031,1
Arsenal,ENG,2001-10-23,1827.48132324,1
Chelsea,ENG,2001-10-23,1792.96044922,1
Aston Villa,ENG,2001-10-23,1734.56689453,1
Newcastle,ENG,2001-10-23,1704.92028809,1
Sunderland,ENG,2001-10-23,1702.546875,1
Ipswich,ENG,2001-10-23,1699.08239746,1
Tottenham,ENG,2001-10-23,1690.43664551,1
Everton,ENG,2001-10-23,1672.21679688,1
Middlesbrough,ENG,2001-10-23,1666.31811523,1
Charlton,ENG,2001-10-23,1663.35986328,1
Blackburn,ENG,2001-10-23,1653.66479492,1
Southampton,ENG,2001-10-23,1640.65478516,1
West Ham,ENG,2001-10-23,1634.96508789,1
Bolton,ENG,2001-10-23,1632.11706543,1
Fulham,ENG,2001-10-23,1626.16784668,1
Derby,ENG,2001-10-23,1599.96960449,1
Leicester,ENG,2001-10-23,1585.1237793,1
Man United,ENG,2001-10-27,1874.80419922,1
Liverpool,ENG,2001-10-27,1869.81188965,1
Leeds,ENG,2001-10-27,1861.13378906,1
Arsenal,ENG,2001-10-27,1837.99157715,1
Chelsea,ENG,2001-10-27,1786.73217773,1
Aston Villa,ENG,2001-10-27,1743.45471191,1
Newcastle,ENG,2001-10-27,1709.02575684,1
Sunderland,ENG,2001-10-27,1706.65234375,1
Ipswich,ENG,2001-10-27,1703.37744141,1
Tottenham,ENG,2001-10-27,1694.54211426,1
Everton,ENG,2001-10-27,1676.32226562,1
Middlesbrough,ENG,2001-10-27,1670.42346191,1
Charlton,ENG,2001-10-27,1662.68286133,1
Blackburn,ENG,2001-10-27,1657.77026367,1
West Ham,ENG,2001-10-27,1649.40429688,1
Southampton,ENG,2001-10-27,1644.57067871,1
Bolton,ENG,2001-10-27,1636.22253418,1
Fulham,ENG,2001-10-27,1630.27319336,1
Derby,ENG,2001-10-27,1604.07507324,1
Leicester,ENG,2001-10-27,1589.22924805,1
Liverpool,ENG,2001-11-02,1875.90393066,1
Man United,ENG,2001-11-02,1869.20239258,1
Leeds,ENG,2001-11-02,1859.90576172,1
Arsenal,ENG,2001-11-02,1821.87121582,1
Chelsea,ENG,2001-11-02,1757.8717040999998,1
Aston Villa,ENG,2001-11-02,1742.85974121,1
Newcastle,ENG,2001-11-02,1716.73852539,1
Sunderland,ENG,2001-11-02,1703.88671875,1
Ipswich,ENG,2001-11-02,1698.91271973,1
Tottenham,ENG,2001-11-02,1695.65930176,1
Middlesbrough,ENG,2001-11-02,1660.11401367,1
Everton,ENG,2001-11-02,1659.41711426,1
West Ham,ENG,2001-11-02,1656.02661133,1
Charlton,ENG,2001-11-02,1651.71069336,1
Blackburn,ENG,2001-11-02,1649.42138672,1
Southampton,ENG,2001-11-02,1633.12255859,1
Fulham,ENG,2001-11-02,1632.52893066,1
Bolton,ENG,2001-11-02,1627.62524414,1
Derby,ENG,2001-11-02,1602.68127441,1
Leicester,ENG,2001-11-02,1588.38562012,1
Liverpool,ENG,2001-11-16,1884.53356934,1
Leeds,ENG,2001-11-16,1862.8894042999998,1
Man United,ENG,2001-11-16,1860.57275391,1
Arsenal,ENG,2001-11-16,1802.7376709000002,1
Chelsea,ENG,2001-11-16,1762.87695312,1
Aston Villa,ENG,2001-11-16,1730.52062988,1
Newcastle,ENG,2001-11-16,1729.07751465,1
Sunderland,ENG,2001-11-16,1694.51818848,1
Ipswich,ENG,2001-11-16,1693.90759277,1
Tottenham,ENG,2001-11-16,1692.67565918,1
Charlton,ENG,2001-11-16,1670.84423828,1
Middlesbrough,ENG,2001-11-16,1670.43774414,1
Everton,ENG,2001-11-16,1660.31054688,1
Blackburn,ENG,2001-11-16,1658.58569336,1
Fulham,ENG,2001-11-16,1646.88378906,1
West Ham,ENG,2001-11-16,1641.67175293,1
Bolton,ENG,2001-11-16,1626.73181152,1
Southampton,ENG,2001-11-16,1623.95825195,1
Leicester,ENG,2001-11-16,1597.75415039,1
Derby,ENG,2001-11-16,1592.35754395,1
Liverpool,ENG,2001-11-18,1880.21875,1
Man United,ENG,2001-11-18,1863.05395508,1
Leeds,ENG,2001-11-18,1862.8894042999998,1
Arsenal,ENG,2001-11-18,1801.4630127,1
Chelsea,ENG,2001-11-18,1762.87695312,1
Aston Villa,ENG,2001-11-18,1727.05480957,1
Newcastle,ENG,2001-11-18,1717.14233398,1
Sunderland,ENG,2001-11-18,1694.51818848,1
Tottenham,ENG,2001-11-18,1693.95019531,1
Ipswich,ENG,2001-11-18,1693.90759277,1
Middlesbrough,ENG,2001-11-18,1673.90356445,1
Charlton,ENG,2001-11-18,1670.84423828,1
Blackburn,ENG,2001-11-18,1662.90039062,1
Everton,ENG,2001-11-18,1660.31054688,1
Fulham,ENG,2001-11-18,1658.8190918,1
West Ham,ENG,2001-11-18,1641.67175293,1
Bolton,ENG,2001-11-18,1626.73181152,1
Southampton,ENG,2001-11-18,1616.79199219,1
Derby,ENG,2001-11-18,1599.52392578,1
Leicester,ENG,2001-11-18,1595.27294922,1
Man United,ENG,2001-11-24,1865.17224121,1
Liverpool,ENG,2001-11-24,1861.25549316,1
Leeds,ENG,2001-11-24,1846.99169922,1
Arsenal,ENG,2001-11-24,1793.83752441,1
Chelsea,ENG,2001-11-24,1758.82678223,1
Aston Villa,ENG,2001-11-24,1723.94274902,1
Newcastle,ENG,2001-11-24,1714.03027344,1
Sunderland,ENG,2001-11-24,1706.49072266,1
